fsq_id,poi_name,poi_category_id,poi_rating,poi_review_count,poi_latitude,poi_longitude,poi_address,postal_code,yelp_id,poi_id,poi_category
5dd2e5df0cd86e00081bd28b,1101 Convenience,13065,,,43.248628,-79.821565,1101 Cannon St E (Kensington),L8L 2J5,,RP1388,restaurants
4dbb3d3ef7b1ab37dd3fe8f9,2 For 1 Pizza and Wings,13065,,,43.245058,-79.807569,158 Kenilworth Ave N,L8H 4R8,,SY4399,restaurants
4f5e95a3e4b0253ade1e7454,241 Pizza,13065,,,43.250811,-79.851416,447 Main St E,L8N 1K1,,VX5752,restaurants
017dcad7abe249b50f10d5ed,31 Service Battalion Museum,10027,,,43.275168,-79.856177,650 Catharine St N,,,BE5356,museums
59907f940868a228a8f2c2f2,337 Sketch Gallery,10027,,,43.251192,-79.816572,327 Ottawa St N (Barton St E),L8H 3Z8,,AW7335,museums
538f7f38498e51998b970447,541 Eatery & Exchange,13065,,,43.258283,-79.842245,541 Barton St E,L8L 2Z2,,TS7590,restaurants
4f15019fe4b03f4c033e864c,8090 Teahouse,13065,,,43.255447,-79.864578,149 King St E,L8N 1B1,,EE6798,restaurants
4c9000a0352da1cdc4090eb2,A Cross the Roads,13065,,,43.24346,-79.822596,1123 Main St E,L8M 1P2,,YA3732,restaurants
4c76eaae947ca1cd65cc4537,A&W Restaurant,13065,,,43.250687,-79.807818,1275 Barton St E (Kenilworth Ave. N.),L8H 2V4,,WQ1532,restaurants
503544ede4b0cde75df3b149,A&W Restaurant,13065,,,43.262054,-79.857951,190 Barton St E,L8L 2W8,,UK8682,restaurants
4fe53cd6e4b0117428807583,A&W Restaurant,13065,,,43.25855,-79.875118,194 King St W,L8P 1A5,,MS3015,restaurants
60528026f7bc6a196fad47dd,A-1 Poutine & Wings,13065,,,43.241733,-79.815215,1279 Main St E (Graham Ave N),L8K 1B1,,RV7498,restaurants
4f8da6fae4b02aede09358bd,A1 BBQ,13065,,,43.240325,-79.808768,1435 Main St E,L8K 1C4,,JZ1874,restaurants
57d9deeb498ef546464d9abc,AMO Gelato Caffe,13065,,,43.255633,-79.885381,171 Locke St N,L8R 3B1,,VA0511,restaurants
534c6197498e2a0a588f0226,Aberdeen Tavern,13065,,,43.251479,-79.893532,432 Aberdeen Ave (Dundurn Street),L8P 2S2,,VB1022,restaurants
4c2541bd905a0f47613a6160,Aceti Pizzeria Spaghetti House & Tavern,13065,,,43.239638,-79.806057,1491 Main St E,L8K 1C9,,WC8784,restaurants
55f06107498ea65e27dc49c4,Aichi Japan,13065,,,43.258442,-79.869257,2 King St W (in Jackson Square),L8P 1A1,,YM2985,restaurants
